Country Code,Country,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F
"217","Togo","6661","Forest","71952","Implied emission factor for CO2","tonnes CO2/ha","-0.317600","Fc","-0.322000","Fc","-0.326300","Fc","-0.330600","Fc","-0.334700","Fc","-0.338700","Fc","-0.342500","Fc","-0.345900","Fc","-0.348900","Fc","-0.351300","Fc","-0.353000","Fc","-0.467600","Fc","-0.484300","Fc","-0.502100","Fc","-0.521200","Fc","-0.541700","Fc","-0.696800","Fc","-0.735800","Fc","-0.779300","Fc","-0.828400","Fc","-0.884000","Fc","-0.570900","Fc","-0.582900","Fc","-0.591200","Fc","-0.592900","Fc","-0.583600","Fc"
"217","Togo","6661","Forest","72332","Net emissions/removals (CO2) (Forest land)","Gigagrams","-217.533900","Fc","-214.137400","Fc","-210.537800","Fc","-206.716100","Fc","-202.651100","Fc","-198.318900","Fc","-193.692300","Fc","-188.740000","Fc","-183.426600","Fc","-177.710900","Fc","-171.545600","Fc","-217.922300","Fc","-215.996600","Fc","-213.898200","Fc","-211.602700","Fc","-209.081100","Fc","-255.171200","Fc","-254.864800","Fc","-254.523300","Fc","-254.140400","Fc","-253.708100","Fc","-152.537000","Fc","-144.210200","Fc","-134.550600","Fc","-123.210300","Fc","-109.708900","Fc"
"217","Togo","6661","Forest","72172","Net emissions/removal (CO2eq) (Forest land)","Gigagrams","-217.533900","Fc","-214.137400","Fc","-210.537800","Fc","-206.716100","Fc","-202.651100","Fc","-198.318900","Fc","-193.692300","Fc","-188.740000","Fc","-183.426600","Fc","-177.710900","Fc","-171.545600","Fc","-217.922300","Fc","-215.996600","Fc","-213.898200","Fc","-211.602700","Fc","-209.081100","Fc","-255.171200","Fc","-254.864800","Fc","-254.523300","Fc","-254.140400","Fc","-253.708100","Fc","-152.537000","Fc","-144.210200","Fc","-134.550600","Fc","-123.210300","Fc","-109.708900","Fc"
"217","Togo","6750","Net Forest conversion","5110","Area","1000 Ha","20.900000","Fc","20.900000","Fc","20.900000","Fc","20.900000","Fc","20.900000","Fc","20.900000","Fc","20.900000","Fc","20.900000","Fc","20.900000","Fc","20.900000","Fc","20.900000","Fc","20.800000","Fc","20.800000","Fc","20.800000","Fc","20.800000","Fc","20.800000","Fc","20.600000","Fc","20.600000","Fc","20.600000","Fc","20.600000","Fc","20.600000","Fc","20.600000","Fc","20.600000","Fc","20.600000","Fc","20.600000","Fc","20.600000","Fc"
"217","Togo","6750","Net Forest conversion","71952","Implied emission factor for CO2","tonnes CO2/ha","328.851700","Fc","328.689200","Fc","328.517000","Fc","328.334100","Fc","328.139600","Fc","327.932400","Fc","327.711000","Fc","327.474000","Fc","327.219800","Fc","326.946300","Fc","326.651300","Fc","326.332200","Fc","326.239600","Fc","326.138700","Fc","326.028400","Fc","325.907100","Fc","325.773300","Fc","325.758500","Fc","325.741900","Fc","325.723300","Fc","325.702300","Fc","325.678400","Fc","325.274200","Fc","324.805300","Fc","324.254800","Fc","323.599400","Fc"
"217","Togo","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","Gigagrams","6873.001200","Fc","6869.604800","Fc","6866.005200","Fc","6862.183500","Fc","6858.118500","Fc","6853.786300","Fc","6849.159600","Fc","6844.207400","Fc","6838.893900","Fc","6833.178300","Fc","6827.013000","Fc","6787.709600","Fc","6785.783900","Fc","6783.685500","Fc","6781.390000","Fc","6778.868400","Fc","6710.930800","Fc","6710.624400","Fc","6710.282900","Fc","6709.900000","Fc","6709.467700","Fc","6708.975800","Fc","6700.649000","Fc","6690.989400","Fc","6679.649100","Fc","6666.147700","Fc"
"217","Togo","6750","Net Forest conversion","72172","Net emissions/removal (CO2eq) (Forest land)","Gigagrams","6873.001200","Fc","6869.604800","Fc","6866.005200","Fc","6862.183500","Fc","6858.118500","Fc","6853.786300","Fc","6849.159600","Fc","6844.207400","Fc","6838.893900","Fc","6833.178300","Fc","6827.013000","Fc","6787.709600","Fc","6785.783900","Fc","6783.685500","Fc","6781.390000","Fc","6778.868400","Fc","6710.930800","Fc","6710.624400","Fc","6710.282900","Fc","6709.900000","Fc","6709.467700","Fc","6708.975800","Fc","6700.649000","Fc","6690.989400","Fc","6679.649100","Fc","6666.147700","Fc"
"217","Togo","6749","Forest land","5110","Area","1000 Ha","705.900000","A","686.000000","A","666.100000","A","646.200000","A","626.300000","A","606.400000","A","586.500000","A","566.600000","A","546.700000","A","526.800000","A","506.900000","A","486.800000","A","466.800000","A","446.800000","A","426.800000","A","406.800000","A","386.800000","A","367.000000","A","347.200000","A","327.400000","A","307.600000","A","287.800000","A","268.000000","A","248.200000","A","228.400000","A","208.600000","A"
"217","Togo","6749","Forest land","72332","Net emissions/removals (CO2) (Forest land)","Gigagrams","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6569.787300","A","6569.787300","A","6569.787300","A","6569.787300","A","6569.787300","A","6455.759600","A","6455.759600","A","6455.759600","A","6455.759600","A","6455.759600","A","6556.438800","A","6556.438800","A","6556.438800","A","6556.438800","A","6556.438800","A"
"217","Togo","6749","Forest land","72172","Net emissions/removal (CO2eq) (Forest land)","Gigagrams","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6655.467400","A","6569.787300","A","6569.787300","A","6569.787300","A","6569.787300","A","6569.787300","A","6455.759600","A","6455.759600","A","6455.759600","A","6455.759600","A","6455.759600","A","6556.438800","A","6556.438800","A","6556.438800","A","6556.438800","A","6556.438800","A"
"218","Tokelau","6661","Forest","5110","Area","1000 Ha","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F","0.000000","F"
"218","Tokelau","6661","Forest","71952","Implied emission factor for CO2","tonnes CO2/ha","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc"
"218","Tokelau","6661","Forest","72332","Net emissions/removals (CO2) (Forest land)","Gigagrams","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc","0.000000","Fc"
